mes,Value,Syear,station,metric
Jan,3.6,2009,UTSUNOMIYA,Monthly mean air temperature
Feb,5,2009,UTSUNOMIYA,Monthly mean air temperature
Mar,7.5,2009,UTSUNOMIYA,Monthly mean air temperature
Apr,13.6,2009,UTSUNOMIYA,Monthly mean air temperature
May,18.9,2009,UTSUNOMIYA,Monthly mean air temperature
Jun,21.3,2009,UTSUNOMIYA,Monthly mean air temperature
Jul,24.9,2009,UTSUNOMIYA,Monthly mean air temperature
Aug,24.9,2009,UTSUNOMIYA,Monthly mean air temperature
Sep,21.5,2009,UTSUNOMIYA,Monthly mean air temperature
Oct,16.6,2009,UTSUNOMIYA,Monthly mean air temperature
Nov,10.8,2009,UTSUNOMIYA,Monthly mean air temperature
Dec,6,2009,UTSUNOMIYA,Monthly mean air temperature
Jan,3.3,2010,UTSUNOMIYA,Monthly mean air temperature
Feb,4,2010,UTSUNOMIYA,Monthly mean air temperature
Mar,6.9,2010,UTSUNOMIYA,Monthly mean air temperature
Apr,10.6,2010,UTSUNOMIYA,Monthly mean air temperature
May,17.4,2010,UTSUNOMIYA,Monthly mean air temperature
Jun,22.3,2010,UTSUNOMIYA,Monthly mean air temperature
Jul,26.5,2010,UTSUNOMIYA,Monthly mean air temperature
Aug,28.1,2010,UTSUNOMIYA,Monthly mean air temperature
Sep,23.4,2010,UTSUNOMIYA,Monthly mean air temperature
Oct,17.4,2010,UTSUNOMIYA,Monthly mean air temperature
Nov,10.8,2010,UTSUNOMIYA,Monthly mean air temperature
Dec,6.7,2010,UTSUNOMIYA,Monthly mean air temperature
Jan,1.5,2011,UTSUNOMIYA,Monthly mean air temperature
Feb,4.5,2011,UTSUNOMIYA,Monthly mean air temperature
Mar,5.5,2011,UTSUNOMIYA,Monthly mean air temperature
Apr,12.1,2011,UTSUNOMIYA,Monthly mean air temperature
May,17.2,2011,UTSUNOMIYA,Monthly mean air temperature
Jun,21.8,2011,UTSUNOMIYA,Monthly mean air temperature
Jul,26,2011,UTSUNOMIYA,Monthly mean air temperature
Aug,25.9,2011,UTSUNOMIYA,Monthly mean air temperature
Sep,23.5,2011,UTSUNOMIYA,Monthly mean air temperature
Oct,17,2011,UTSUNOMIYA,Monthly mean air temperature
Nov,11.5,2011,UTSUNOMIYA,Monthly mean air temperature
Dec,3.9,2011,UTSUNOMIYA,Monthly mean air temperature
Jan,1.5,2012,UTSUNOMIYA,Monthly mean air temperature
Feb,2.6,2012,UTSUNOMIYA,Monthly mean air temperature
Mar,6.4,2012,UTSUNOMIYA,Monthly mean air temperature
Apr,12.2,2012,UTSUNOMIYA,Monthly mean air temperature
May,17.8,2012,UTSUNOMIYA,Monthly mean air temperature
Jun,20.1,2012,UTSUNOMIYA,Monthly mean air temperature
Jul,25.2,2012,UTSUNOMIYA,Monthly mean air temperature
Aug,27.6,2012,UTSUNOMIYA,Monthly mean air temperature
Sep,24.4,2012,UTSUNOMIYA,Monthly mean air temperature
Oct,17,2012,UTSUNOMIYA,Monthly mean air temperature
Nov,9.3,2012,UTSUNOMIYA,Monthly mean air temperature
Dec,4,2012,UTSUNOMIYA,Monthly mean air temperature
Jan,2.1,2013,UTSUNOMIYA,Monthly mean air temperature
Feb,2.8,2013,UTSUNOMIYA,Monthly mean air temperature
Mar,9.6,2013,UTSUNOMIYA,Monthly mean air temperature
Apr,12.1,2013,UTSUNOMIYA,Monthly mean air temperature
May,17.8,2013,UTSUNOMIYA,Monthly mean air temperature
Jun,21.6,2013,UTSUNOMIYA,Monthly mean air temperature
Jul,25.1,2013,UTSUNOMIYA,Monthly mean air temperature
Aug,26.9,2013,UTSUNOMIYA,Monthly mean air temperature
Sep,22.9,2013,UTSUNOMIYA,Monthly mean air temperature
Oct,17.8,2013,UTSUNOMIYA,Monthly mean air temperature
Nov,9.7,2013,UTSUNOMIYA,Monthly mean air temperature
Dec,4.8,2013,UTSUNOMIYA,Monthly mean air temperature
Jan,2.3,2014,UTSUNOMIYA,Monthly mean air temperature
Feb,2.8,2014,UTSUNOMIYA,Monthly mean air temperature
Mar,7.6,2014,UTSUNOMIYA,Monthly mean air temperature
Apr,12.8,2014,UTSUNOMIYA,Monthly mean air temperature
May,18.7,2014,UTSUNOMIYA,Monthly mean air temperature
Jun,21.9,2014,UTSUNOMIYA,Monthly mean air temperature
Jul,25.1,2014,UTSUNOMIYA,Monthly mean air temperature
Aug,26,2014,UTSUNOMIYA,Monthly mean air temperature
Sep,21.1,2014,UTSUNOMIYA,Monthly mean air temperature
Oct,16.6,2014,UTSUNOMIYA,Monthly mean air temperature
Nov,11.5,2014,UTSUNOMIYA,Monthly mean air temperature
Dec,3.9,2014,UTSUNOMIYA,Monthly mean air temperature
Jan,3.2,2015,UTSUNOMIYA,Monthly mean air temperature
Feb,3.7,2015,UTSUNOMIYA,Monthly mean air temperature
Mar,8.5,2015,UTSUNOMIYA,Monthly mean air temperature
Apr,13.6,2015,UTSUNOMIYA,Monthly mean air temperature
May,20.2,2015,UTSUNOMIYA,Monthly mean air temperature
Jun,21.4,2015,UTSUNOMIYA,Monthly mean air temperature
Jul,25.6,2015,UTSUNOMIYA,Monthly mean air temperature
Aug,25.4,2015,UTSUNOMIYA,Monthly mean air temperature
Sep,21.4,2015,UTSUNOMIYA,Monthly mean air temperature
Oct,16.7,2015,UTSUNOMIYA,Monthly mean air temperature
Nov,12.3,2015,UTSUNOMIYA,Monthly mean air temperature
Dec,7.2,2015,UTSUNOMIYA,Monthly mean air temperature
Jan,9.1,2009,UTSUNOMIYA,Monthly mean daily maximum temperature
Feb,10.5,2009,UTSUNOMIYA,Monthly mean daily maximum temperature
Mar,13.4,2009,UTSUNOMIYA,Monthly mean daily maximum temperature
Apr,19.9,2009,UTSUNOMIYA,Monthly mean daily maximum temperature
May,23.8,2009,UTSUNOMIYA,Monthly mean daily maximum temperature
Jun,26,2009,UTSUNOMIYA,Monthly mean daily maximum temperature
Jul,29.4,2009,UTSUNOMIYA,Monthly mean daily maximum temperature
Aug,29.6,2009,UTSUNOMIYA,Monthly mean daily maximum temperature
Sep,26.4,2009,UTSUNOMIYA,Monthly mean daily maximum temperature
Oct,21.6,2009,UTSUNOMIYA,Monthly mean daily maximum temperature
Nov,15.7,2009,UTSUNOMIYA,Monthly mean daily maximum temperature
Dec,11.1,2009,UTSUNOMIYA,Monthly mean daily maximum temperature
Jan,9.6,2010,UTSUNOMIYA,Monthly mean daily maximum temperature
Feb,8.9,2010,UTSUNOMIYA,Monthly mean daily maximum temperature
Mar,12.2,2010,UTSUNOMIYA,Monthly mean daily maximum temperature
Apr,16.1,2010,UTSUNOMIYA,Monthly mean daily maximum temperature
May,22.8,2010,UTSUNOMIYA,Monthly mean daily maximum temperature
Jun,27.4,2010,UTSUNOMIYA,Monthly mean daily maximum temperature
Jul,31.5,2010,UTSUNOMIYA,Monthly mean daily maximum temperature
Aug,33.2,2010,UTSUNOMIYA,Monthly mean daily maximum temperature
Sep,28.3,2010,UTSUNOMIYA,Monthly mean daily maximum temperature
Oct,21.3,2010,UTSUNOMIYA,Monthly mean daily maximum temperature
Nov,16.3,2010,UTSUNOMIYA,Monthly mean daily maximum temperature
Dec,12.2,2010,UTSUNOMIYA,Monthly mean daily maximum temperature
Jan,7.6,2011,UTSUNOMIYA,Monthly mean daily maximum temperature
Feb,10.4,2011,UTSUNOMIYA,Monthly mean daily maximum temperature
Mar,11.5,2011,UTSUNOMIYA,Monthly mean daily maximum temperature
Apr,18.6,2011,UTSUNOMIYA,Monthly mean daily maximum temperature
May,22.6,2011,UTSUNOMIYA,Monthly mean daily maximum temperature
Jun,26.6,2011,UTSUNOMIYA,Monthly mean daily maximum temperature
Jul,31.1,2011,UTSUNOMIYA,Monthly mean daily maximum temperature
Aug,30.8,2011,UTSUNOMIYA,Monthly mean daily maximum temperature
Sep,28.5,2011,UTSUNOMIYA,Monthly mean daily maximum temperature
Oct,21.4,2011,UTSUNOMIYA,Monthly mean daily maximum temperature
Nov,16.8,2011,UTSUNOMIYA,Monthly mean daily maximum temperature
Dec,9.2,2011,UTSUNOMIYA,Monthly mean daily maximum temperature
Jan,7.2,2012,UTSUNOMIYA,Monthly mean daily maximum temperature
Feb,7.9,2012,UTSUNOMIYA,Monthly mean daily maximum temperature
Mar,12,2012,UTSUNOMIYA,Monthly mean daily maximum temperature
Apr,17.8,2012,UTSUNOMIYA,Monthly mean daily maximum temperature
May,23.2,2012,UTSUNOMIYA,Monthly mean daily maximum temperature
Jun,25,2012,UTSUNOMIYA,Monthly mean daily maximum temperature
Jul,30.3,2012,UTSUNOMIYA,Monthly mean daily maximum temperature
Aug,33.1,2012,UTSUNOMIYA,Monthly mean daily maximum temperature
Sep,29.6,2012,UTSUNOMIYA,Monthly mean daily maximum temperature
Oct,22.5,2012,UTSUNOMIYA,Monthly mean daily maximum temperature
Nov,14.6,2012,UTSUNOMIYA,Monthly mean daily maximum temperature
Dec,9.4,2012,UTSUNOMIYA,Monthly mean daily maximum temperature
Jan,8,2013,UTSUNOMIYA,Monthly mean daily maximum temperature
Feb,8.4,2013,UTSUNOMIYA,Monthly mean daily maximum temperature
Mar,15.8,2013,UTSUNOMIYA,Monthly mean daily maximum temperature
Apr,18.2,2013,UTSUNOMIYA,Monthly mean daily maximum temperature
May,24,2013,UTSUNOMIYA,Monthly mean daily maximum temperature
Jun,26.6,2013,UTSUNOMIYA,Monthly mean daily maximum temperature
Jul,29.9,2013,UTSUNOMIYA,Monthly mean daily maximum temperature
Aug,32.1,2013,UTSUNOMIYA,Monthly mean daily maximum temperature
Sep,27.9,2013,UTSUNOMIYA,Monthly mean daily maximum temperature
Oct,22.4,2013,UTSUNOMIYA,Monthly mean daily maximum temperature
Nov,15.4,2013,UTSUNOMIYA,Monthly mean daily maximum temperature
Dec,10.6,2013,UTSUNOMIYA,Monthly mean daily maximum temperature
Jan,8.6,2014,UTSUNOMIYA,Monthly mean daily maximum temperature
Feb,8.5,2014,UTSUNOMIYA,Monthly mean daily maximum temperature
Mar,13.2,2014,UTSUNOMIYA,Monthly mean daily maximum temperature
Apr,19.3,2014,UTSUNOMIYA,Monthly mean daily maximum temperature
May,24.9,2014,UTSUNOMIYA,Monthly mean daily maximum temperature
Jun,26.8,2014,UTSUNOMIYA,Monthly mean daily maximum temperature
Jul,29.8,2014,UTSUNOMIYA,Monthly mean daily maximum temperature
Aug,30.7,2014,UTSUNOMIYA,Monthly mean daily maximum temperature
Sep,26.2,2014,UTSUNOMIYA,Monthly mean daily maximum temperature
Oct,21.6,2014,UTSUNOMIYA,Monthly mean daily maximum temperature
Nov,16.2,2014,UTSUNOMIYA,Monthly mean daily maximum temperature
Dec,9.1,2014,UTSUNOMIYA,Monthly mean daily maximum temperature
Jan,8.8,2015,UTSUNOMIYA,Monthly mean daily maximum temperature
Feb,8.9,2015,UTSUNOMIYA,Monthly mean daily maximum temperature
Mar,14.5,2015,UTSUNOMIYA,Monthly mean daily maximum temperature
Apr,19.3,2015,UTSUNOMIYA,Monthly mean daily maximum temperature
May,26.4,2015,UTSUNOMIYA,Monthly mean daily maximum temperature
Jun,26.1,2015,UTSUNOMIYA,Monthly mean daily maximum temperature
Jul,30.3,2015,UTSUNOMIYA,Monthly mean daily maximum temperature
Aug,29.7,2015,UTSUNOMIYA,Monthly mean daily maximum temperature
Sep,25.5,2015,UTSUNOMIYA,Monthly mean daily maximum temperature
Oct,21.8,2015,UTSUNOMIYA,Monthly mean daily maximum temperature
Nov,16.3,2015,UTSUNOMIYA,Monthly mean daily maximum temperature
Dec,12.4,2015,UTSUNOMIYA,Monthly mean daily maximum temperature
Jan,-1,2009,UTSUNOMIYA,Monthly mean daily minimum temperature
Feb,0.1,2009,UTSUNOMIYA,Monthly mean daily minimum temperature
Mar,2.2,2009,UTSUNOMIYA,Monthly mean daily minimum temperature
Apr,8,2009,UTSUNOMIYA,Monthly mean daily minimum temperature
May,14.6,2009,UTSUNOMIYA,Monthly mean daily minimum temperature
Jun,17.9,2009,UTSUNOMIYA,Monthly mean daily minimum temperature
Jul,21.7,2009,UTSUNOMIYA,Monthly mean daily minimum temperature
Aug,21.6,2009,UTSUNOMIYA,Monthly mean daily minimum temperature
Sep,17.7,2009,UTSUNOMIYA,Monthly mean daily minimum temperature
Oct,12.4,2009,UTSUNOMIYA,Monthly mean daily minimum temperature
Nov,6.4,2009,UTSUNOMIYA,Monthly mean daily minimum temperature
Dec,1.5,2009,UTSUNOMIYA,Monthly mean daily minimum temperature
Jan,-2,2010,UTSUNOMIYA,Monthly mean daily minimum temperature
Feb,-0.2,2010,UTSUNOMIYA,Monthly mean daily minimum temperature
Mar,2.2,2010,UTSUNOMIYA,Monthly mean daily minimum temperature
Apr,5.9,2010,UTSUNOMIYA,Monthly mean daily minimum temperature
May,12.2,2010,UTSUNOMIYA,Monthly mean daily minimum temperature
Jun,18.1,2010,UTSUNOMIYA,Monthly mean daily minimum temperature
Jul,22.8,2010,UTSUNOMIYA,Monthly mean daily minimum temperature
Aug,24.4,2010,UTSUNOMIYA,Monthly mean daily minimum temperature
Sep,19.7,2010,UTSUNOMIYA,Monthly mean daily minimum temperature
Oct,14.2,2010,UTSUNOMIYA,Monthly mean daily minimum temperature
Nov,5.7,2010,UTSUNOMIYA,Monthly mean daily minimum temperature
Dec,1.9,2010,UTSUNOMIYA,Monthly mean daily minimum temperature
Jan,-3.5,2011,UTSUNOMIYA,Monthly mean daily minimum temperature
Feb,-0.6,2011,UTSUNOMIYA,Monthly mean daily minimum temperature
Mar,0.1,2011,UTSUNOMIYA,Monthly mean daily minimum temperature
Apr,6,2011,UTSUNOMIYA,Monthly mean daily minimum temperature
May,12.6,2011,UTSUNOMIYA,Monthly mean daily minimum temperature
Jun,18.2,2011,UTSUNOMIYA,Monthly mean daily minimum temperature
Jul,22.4,2011,UTSUNOMIYA,Monthly mean daily minimum temperature
Aug,22.7,2011,UTSUNOMIYA,Monthly mean daily minimum temperature
Sep,19.8,2011,UTSUNOMIYA,Monthly mean daily minimum temperature
Oct,13,2011,UTSUNOMIYA,Monthly mean daily minimum temperature
Nov,6.9,2011,UTSUNOMIYA,Monthly mean daily minimum temperature
Dec,-0.9,2011,UTSUNOMIYA,Monthly mean daily minimum temperature
Jan,-3.3,2012,UTSUNOMIYA,Monthly mean daily minimum temperature
Feb,-2.1,2012,UTSUNOMIYA,Monthly mean daily minimum temperature
Mar,1.5,2012,UTSUNOMIYA,Monthly mean daily minimum temperature
Apr,7.3,2012,UTSUNOMIYA,Monthly mean daily minimum temperature
May,13,2012,UTSUNOMIYA,Monthly mean daily minimum temperature
Jun,16.3,2012,UTSUNOMIYA,Monthly mean daily minimum temperature
Jul,21.5,2012,UTSUNOMIYA,Monthly mean daily minimum temperature
Aug,23.8,2012,UTSUNOMIYA,Monthly mean daily minimum temperature
Sep,20.9,2012,UTSUNOMIYA,Monthly mean daily minimum temperature
Oct,12.3,2012,UTSUNOMIYA,Monthly mean daily minimum temperature
Nov,4.3,2012,UTSUNOMIYA,Monthly mean daily minimum temperature
Dec,-0.9,2012,UTSUNOMIYA,Monthly mean daily minimum temperature
Jan,-2.9,2013,UTSUNOMIYA,Monthly mean daily minimum temperature
Feb,-2.2,2013,UTSUNOMIYA,Monthly mean daily minimum temperature
Mar,3.7,2013,UTSUNOMIYA,Monthly mean daily minimum temperature
Apr,6.5,2013,UTSUNOMIYA,Monthly mean daily minimum temperature
May,12.6,2013,UTSUNOMIYA,Monthly mean daily minimum temperature
Jun,18.1,2013,UTSUNOMIYA,Monthly mean daily minimum temperature
Jul,21.6,2013,UTSUNOMIYA,Monthly mean daily minimum temperature
Aug,23,2013,UTSUNOMIYA,Monthly mean daily minimum temperature
Sep,18.9,2013,UTSUNOMIYA,Monthly mean daily minimum temperature
Oct,14,2013,UTSUNOMIYA,Monthly mean daily minimum temperature
Nov,4.2,2013,UTSUNOMIYA,Monthly mean daily minimum temperature
Dec,-0.2,2013,UTSUNOMIYA,Monthly mean daily minimum temperature
Jan,-3.1,2014,UTSUNOMIYA,Monthly mean daily minimum temperature
Feb,-2.2,2014,UTSUNOMIYA,Monthly mean daily minimum temperature
Mar,2.2,2014,UTSUNOMIYA,Monthly mean daily minimum temperature
Apr,7,2014,UTSUNOMIYA,Monthly mean daily minimum temperature
May,13.3,2014,UTSUNOMIYA,Monthly mean daily minimum temperature
Jun,18.4,2014,UTSUNOMIYA,Monthly mean daily minimum temperature
Jul,21.6,2014,UTSUNOMIYA,Monthly mean daily minimum temperature
Aug,22.4,2014,UTSUNOMIYA,Monthly mean daily minimum temperature
Sep,16.8,2014,UTSUNOMIYA,Monthly mean daily minimum temperature
Oct,12.1,2014,UTSUNOMIYA,Monthly mean daily minimum temperature
Nov,7.1,2014,UTSUNOMIYA,Monthly mean daily minimum temperature
Dec,-0.6,2014,UTSUNOMIYA,Monthly mean daily minimum temperature
Jan,-1.6,2015,UTSUNOMIYA,Monthly mean daily minimum temperature
Feb,-0.7,2015,UTSUNOMIYA,Monthly mean daily minimum temperature
Mar,3.1,2015,UTSUNOMIYA,Monthly mean daily minimum temperature
Apr,8.3,2015,UTSUNOMIYA,Monthly mean daily minimum temperature
May,14.6,2015,UTSUNOMIYA,Monthly mean daily minimum temperature
Jun,17.8,2015,UTSUNOMIYA,Monthly mean daily minimum temperature
Jul,22.1,2015,UTSUNOMIYA,Monthly mean daily minimum temperature
Aug,22.4,2015,UTSUNOMIYA,Monthly mean daily minimum temperature
Sep,18.4,2015,UTSUNOMIYA,Monthly mean daily minimum temperature
Oct,12.3,2015,UTSUNOMIYA,Monthly mean daily minimum temperature
Nov,8.7,2015,UTSUNOMIYA,Monthly mean daily minimum temperature
Dec,2.4,2015,UTSUNOMIYA,Monthly mean daily minimum temperature
Jan,2.8,2009,UTSUNOMIYA,Monthly mean daily wind speed
Feb,2.9,2009,UTSUNOMIYA,Monthly mean daily wind speed
Mar,3.4,2009,UTSUNOMIYA,Monthly mean daily wind speed
Apr,3.2,2009,UTSUNOMIYA,Monthly mean daily wind speed
May,3.2,2009,UTSUNOMIYA,Monthly mean daily wind speed
Jun,2.6,2009,UTSUNOMIYA,Monthly mean daily wind speed
Jul,2.8,2009,UTSUNOMIYA,Monthly mean daily wind speed
Aug,2.9,2009,UTSUNOMIYA,Monthly mean daily wind speed
Sep,2.7,2009,UTSUNOMIYA,Monthly mean daily wind speed
Oct,2.9,2009,UTSUNOMIYA,Monthly mean daily wind speed
Nov,2.5,2009,UTSUNOMIYA,Monthly mean daily wind speed
Dec,2.7,2009,UTSUNOMIYA,Monthly mean daily wind speed
Jan,2.6,2010,UTSUNOMIYA,Monthly mean daily wind speed
Feb,2.6,2010,UTSUNOMIYA,Monthly mean daily wind speed
Mar,2.9,2010,UTSUNOMIYA,Monthly mean daily wind speed
Apr,3.3,2010,UTSUNOMIYA,Monthly mean daily wind speed
May,2.8,2010,UTSUNOMIYA,Monthly mean daily wind speed
Jun,2.5,2010,UTSUNOMIYA,Monthly mean daily wind speed
Jul,2.6,2010,UTSUNOMIYA,Monthly mean daily wind speed
Aug,2.6,2010,UTSUNOMIYA,Monthly mean daily wind speed
Sep,3,2010,UTSUNOMIYA,Monthly mean daily wind speed
Oct,2.7,2010,UTSUNOMIYA,Monthly mean daily wind speed
Nov,2.7,2010,UTSUNOMIYA,Monthly mean daily wind speed
Dec,3,2010,UTSUNOMIYA,Monthly mean daily wind speed
Jan,2.6,2011,UTSUNOMIYA,Monthly mean daily wind speed
Feb,2.7,2011,UTSUNOMIYA,Monthly mean daily wind speed
Mar,3,2011,UTSUNOMIYA,Monthly mean daily wind speed
Apr,3.5,2011,UTSUNOMIYA,Monthly mean daily wind speed
May,3.3,2011,UTSUNOMIYA,Monthly mean daily wind speed
Jun,2.6,2011,UTSUNOMIYA,Monthly mean daily wind speed
Jul,3.2,2011,UTSUNOMIYA,Monthly mean daily wind speed
Aug,2.5,2011,UTSUNOMIYA,Monthly mean daily wind speed
Sep,3.4,2011,UTSUNOMIYA,Monthly mean daily wind speed
Oct,2.7,2011,UTSUNOMIYA,Monthly mean daily wind speed
Nov,2.3,2011,UTSUNOMIYA,Monthly mean daily wind speed
Dec,2.6,2011,UTSUNOMIYA,Monthly mean daily wind speed
Jan,3,2012,UTSUNOMIYA,Monthly mean daily wind speed
Feb,2.9,2012,UTSUNOMIYA,Monthly mean daily wind speed
Mar,3.5,2012,UTSUNOMIYA,Monthly mean daily wind speed
Apr,3.5,2012,UTSUNOMIYA,Monthly mean daily wind speed
May,3.2,2012,UTSUNOMIYA,Monthly mean daily wind speed
Jun,2.9,2012,UTSUNOMIYA,Monthly mean daily wind speed
Jul,2.8,2012,UTSUNOMIYA,Monthly mean daily wind speed
Aug,2.7,2012,UTSUNOMIYA,Monthly mean daily wind speed
Sep,3.5,2012,UTSUNOMIYA,Monthly mean daily wind speed
Oct,3.1,2012,UTSUNOMIYA,Monthly mean daily wind speed
Nov,2.3,2012,UTSUNOMIYA,Monthly mean daily wind speed
Dec,2.9,2012,UTSUNOMIYA,Monthly mean daily wind speed
Jan,3.2,2013,UTSUNOMIYA,Monthly mean daily wind speed
Feb,3,2013,UTSUNOMIYA,Monthly mean daily wind speed
Mar,3.4,2013,UTSUNOMIYA,Monthly mean daily wind speed
Apr,3.6,2013,UTSUNOMIYA,Monthly mean daily wind speed
May,3.1,2013,UTSUNOMIYA,Monthly mean daily wind speed
Jun,2.7,2013,UTSUNOMIYA,Monthly mean daily wind speed
Jul,2.6,2013,UTSUNOMIYA,Monthly mean daily wind speed
Aug,2.5,2013,UTSUNOMIYA,Monthly mean daily wind speed
Sep,2.9,2013,UTSUNOMIYA,Monthly mean daily wind speed
Oct,3.5,2013,UTSUNOMIYA,Monthly mean daily wind speed
Nov,2.6,2013,UTSUNOMIYA,Monthly mean daily wind speed
Dec,3,2013,UTSUNOMIYA,Monthly mean daily wind speed
Jan,2.8,2014,UTSUNOMIYA,Monthly mean daily wind speed
Feb,3.4,2014,UTSUNOMIYA,Monthly mean daily wind speed
Mar,3.4,2014,UTSUNOMIYA,Monthly mean daily wind speed
Apr,3.1,2014,UTSUNOMIYA,Monthly mean daily wind speed
May,3.3,2014,UTSUNOMIYA,Monthly mean daily wind speed
Jun,3.1,2014,UTSUNOMIYA,Monthly mean daily wind speed
Jul,2.7,2014,UTSUNOMIYA,Monthly mean daily wind speed
Aug,2.9,2014,UTSUNOMIYA,Monthly mean daily wind speed
Sep,2.8,2014,UTSUNOMIYA,Monthly mean daily wind speed
Oct,2.9,2014,UTSUNOMIYA,Monthly mean daily wind speed
Nov,2.7,2014,UTSUNOMIYA,Monthly mean daily wind speed
Dec,3.2,2014,UTSUNOMIYA,Monthly mean daily wind speed
Jan,2.9,2015,UTSUNOMIYA,Monthly mean daily wind speed
Feb,3,2015,UTSUNOMIYA,Monthly mean daily wind speed
Mar,3.3,2015,UTSUNOMIYA,Monthly mean daily wind speed
Apr,2.9,2015,UTSUNOMIYA,Monthly mean daily wind speed
May,3,2015,UTSUNOMIYA,Monthly mean daily wind speed
Jun,2.8,2015,UTSUNOMIYA,Monthly mean daily wind speed
Jul,2.5,2015,UTSUNOMIYA,Monthly mean daily wind speed
Aug,3.3,2015,UTSUNOMIYA,Monthly mean daily wind speed
Sep,2.9,2015,UTSUNOMIYA,Monthly mean daily wind speed
Oct,2.8,2015,UTSUNOMIYA,Monthly mean daily wind speed
Nov,2.7,2015,UTSUNOMIYA,Monthly mean daily wind speed
Dec,2.8,2015,UTSUNOMIYA,Monthly mean daily wind speed
Jan,1017.5,2009,UTSUNOMIYA,Monthly mean sea level air pressure
Feb,1015.3,2009,UTSUNOMIYA,Monthly mean sea level air pressure
